lambda_NIO,lambda_ann_pct,N,T,T/N,trial,t_oracle,t_ols,t_lasso
0.003,9.524704719832528,50,500,10.0,45,-0.15286746526282072,,-0.3035555593689874
0.003,9.524704719832528,50,500,10.0,46,1.3112088706447995,,-0.687829429670544
0.003,9.524704719832528,50,500,10.0,47,-1.0718737557328437,,-1.266401751952059
0.003,9.524704719832528,50,500,10.0,48,1.1698588981263793,,0.22347133887249845
0.003,9.524704719832528,50,500,10.0,49,2.0398635674542454,,1.4345602187773747
0.005,15.874507866387544,50,100,2.0,0,6.45708921859865,,-2.3725437729160745
0.005,15.874507866387544,50,100,2.0,1,6.443402509767488,,-0.7309593332975035
0.005,15.874507866387544,50,100,2.0,2,12.482087553941064,,-0.9860720063512282
0.005,15.874507866387544,50,100,2.0,3,8.126337779087399,,1.0354041435792531
0.005,15.874507866387544,50,100,2.0,4,10.13078893024253,,1.054833993372163
0.005,15.874507866387544,50,100,2.0,5,15.059217924687998,,-0.7076997455938593
0.005,15.874507866387544,50,100,2.0,6,7.473582491144224,,0.6964474635449691
0.005,15.874507866387544,50,100,2.0,7,16.718293657391783,,-0.24646697088404412
0.005,15.874507866387544,50,100,2.0,8,3.9868936671729287,,-2.8295707255575184
0.005,15.874507866387544,50,100,2.0,9,14.091342211511785,,0.5213772984488192
0.005,15.874507866387544,50,100,2.0,10,5.478625563555388,,-1.8124663122037759
0.005,15.874507866387544,50,100,2.0,11,7.57915532151558,,-0.6303918052947826
0.005,15.874507866387544,50,100,2.0,12,7.598718386141795,,-1.7708469426419324
0.005,15.874507866387544,50,100,2.0,13,10.141462676074653,,2.730699660256884
0.005,15.874507866387544,50,100,2.0,14,11.055380833502804,,3.4936840752663656
0.005,15.874507866387544,50,100,2.0,15,9.202772071491937,,0.6247113272252715
0.005,15.874507866387544,50,100,2.0,16,10.688160102759904,,0.0019590806525964202
0.005,15.874507866387544,50,100,2.0,17,2.485873529249872,,2.829158434192039
0.005,15.874507866387544,50,100,2.0,18,6.931806786825251,,-2.6462560684595444
0.005,15.874507866387544,50,100,2.0,19,11.915041449229237,,2.132880518867414
0.005,15.874507866387544,50,100,2.0,20,11.464017649999143,,-0.6609889295642459
0.005,15.874507866387544,50,100,2.0,21,8.802009937251196,,-0.41963027390234925
0.005,15.874507866387544,50,100,2.0,22,10.373857935522139,,3.468287733697499
0.005,15.874507866387544,50,100,2.0,23,8.168011900729002,,0.9032518384406006
0.005,15.874507866387544,50,100,2.0,24,7.190607054269514,,-0.12329130646695242
0.005,15.874507866387544,50,100,2.0,25,11.760227819931313,,0.518601641784698
0.005,15.874507866387544,50,100,2.0,26,5.74448843569165,,-1.925498508330772
0.005,15.874507866387544,50,100,2.0,27,13.829739643833536,,1.7261293784398777
0.005,15.874507866387544,50,100,2.0,28,14.921420853393737,,-0.6070879102580229
0.005,15.874507866387544,50,100,2.0,29,9.600312374967102,,0.22461113469825855
0.005,15.874507866387544,50,100,2.0,30,9.47668438670808,,1.1008515443815603
0.005,15.874507866387544,50,100,2.0,31,11.670433255891625,,1.625170875802575
